,I_c,I_w,A,g,tryb_awaryjny
2018-07,238.05005301854888,457.3576983893722,329.9606406073784,1.0017702856072377,False
2018-08,238.05005301854888,460.0629316855859,330.9350469195168,1.0029530986191102,False
2018-09,238.6137068990589,462.78189165857975,332.3042320741829,1.0041373229200443,False
2018-10,239.5531300332422,465.5146461562341,333.9393516239784,1.0049205498816232,False
2018-11,239.5531300332422,468.2612633494557,334.9230528176322,1.0029457480493689,False
2018-12,239.5531300332422,471.0218117336289,335.9088407808275,1.0029433266981838,False
2019-01,238.9894761527322,473.7963601300728,336.5001395401752,1.001760295316947,False
2019-02,239.9288992869156,476.5849776875047,338.1516066991878,1.0049077755547722,False
2019-03,240.68043779426225,479.3877338835093,339.6752120250789,1.0045056870814943,False
2019-04,243.31082256997556,482.2046985260133,342.52827889894195,1.0083993967556644,False
2019-05,243.87447645048556,485.0359417547666,343.9300602667814,1.004092454416743,False
2019-06,244.62601495783215,487.8815340428294,345.46854479736834,1.004473248222018,False
2019-07,244.62601495783215,490.7415461980651,346.47965138039143,1.0029267688715804,False
2019-08,244.62601495783215,493.54515045496106,347.4679601885055,1.002852429584758,False
2019-09,244.62601495783215,496.2917140064935,348.4334430762935,1.0027786242140546,False
2019-10,245.18966883834216,498.9805990885122,349.77834102080976,1.003859841732304,False
2019-11,245.3775534651788,501.61116294552994,350.83346470141254,1.003016549502532,False
2019-12,247.25639973354544,504.182757796291,353.0756484104236,1.0063910200553967,False
2020-01,249.51101525558545,506.6947307991149,355.5642230404273,1.0070482760315176,False
2020-02,251.20197689711543,509.1464240170169,357.6291210782081,1.0058073841629056,False
2020-03,251.7656307776254,511.5371743826017,358.8697247952798,1.0034689672735024,False
2020-04,251.57774615078876,513.8663136627304,359.55156655768303,1.0018999701431828,False
2020-05,251.0140922702788,516.133168422958,359.93985436774256,1.001079922453897,False
2020-06,252.5171692849721,518.3370599917411,361.78585810477614,1.005128645007306,False
2020-07,251.95351540446208,520.4773044244129,362.12716901382754,1.000943405888885,False
2020-08,251.7656307776254,522.7827224780441,362.7929462990275,1.0018385179079854,False
2020-09,252.3292846581354,525.2551926228408,364.0566810504822,1.00348334984003,False
2020-10,252.5171692849721,527.8966102419425,365.1067757429702,1.0028844263740964,False
2020-11,252.7050539118087,530.7088877713333,366.2141697091072,1.0030330687889413,False
2020-12,252.8929385386454,533.6939548408665,367.3791400175272,1.003181117512043,False
2021-01,256.0869771948687,536.8537584164131,370.7846493432051,1.009269740588743,False
2021-02,257.4021695827254,540.1902629431407,372.8889186728768,1.0056751792001075,False
2021-03,260.0325543584387,543.7054504899329,376.0068046053194,1.0083614335967377,False
2021-04,262.099285253642,547.4013208949581,378.7789526273445,1.0073726006765618,False
2021-05,262.8508237609886,551.2798919123962,380.6630711167582,1.0049741900291578,False
2021-06,263.0387083878253,555.3431993603341,382.1998925584685,1.004037222305809,False
2021-07,264.1660161488453,559.5932972698346,384.480860386273,1.0059679970408562,False
2021-08,264.91755465619195,563.9678134856401,386.52939610515415,1.0053280564260678,False
2021-09,266.7964009245585,568.4685771526597,389.4423839581849,1.0075362647249688,False
2021-10,269.8025549539452,573.0974397835859,393.22150690314,1.0097039333688982,False
2021-11,272.43293972965853,577.8562755099473,396.7708203464645,1.0090262444475062,False
2021-12,274.8754398785352,582.7469813358458,400.228475789241,1.0087144902434035,False
2022-01,280.1362094299618,587.7714773944039,405.7783553718911,1.013866778398778,False
2022-02,279.3846709226151,592.9317072069515,407.0086361462106,1.0030319033975874,False
2022-03,288.5910176376117,598.2296379449821,415.5041515984196,1.020873059433454,False
2022-04,294.41544106954825,603.6672606949038,421.579129958702,1.0146207404593006,False
2022-05,299.4883259941382,609.2465907256169,427.1559920849184,1.0132285061804711,False
2022-06,303.99755703821813,614.9696677589453,432.37631370291786,1.012221112930008,False
2022-07,305.50063405291155,620.8385562429529,435.50725892540106,1.0072412505571118,False
2022-08,307.9431342017881,626.791202829107,439.3359164572183,1.0087912599694993,False
2022-09,312.8281344995414,632.8286858060161,444.93439655582085,1.0127430512482305,False
2022-10,318.46467330464134,638.9520965570406,451.0916433357568,1.0138385497448577,False
2022-11,320.7192888266813,645.1625397134518,454.8802819583564,1.0083988224534224,False
2022-12,321.0950580803546,651.4611333093351,457.3630400863788,1.0054580473731105,False
2023-01,329.1740970343312,657.8490089382575,465.3459503446663,1.0174542093667642,False
2023-02,333.11967419790125,664.327311911721,470.425868447729,1.010916433460526,False
2023-03,336.8773667346345,670.8972014194172,475.4051772581037,1.01058468325053,False
2023-04,339.3198668835111,677.5598506913094,479.4888094024581,1.0085897931694954,False
2023-05,339.3198668835111,684.3164471615572,481.8735993567782,1.0049736092012074,False
2023-06,339.3198668835111,691.1681926343077,484.279980092911,1.0049938007380876,False
2023-07,338.56855919265934,698.1163034513725,486.1689325825299,1.0039005380508534,False
2023-08,338.56855919265934,705.206660077451,488.6315614402021,1.0050653768528377,False
2023-09,337.2531359883078,712.441505594215,490.17663343929456,1.0031620388878248,False
2023-10,338.1925591224912,719.8231147648116,493.3951978868809,1.0065661319369783,False
2023-11,340.63529008786264,727.3537944549166,497.7573412524,1.008841073817097,False
2023-12,341.01082852504106,735.0358840591715,500.6547670987006,1.0058209605487896,False
2024-01,342.3260209128978,742.8717559330743,504.2859627801935,1.0072528934509817,False
2024-02,343.265444047081,750.8638158303883,507.6865185918411,1.0067433084849318,False
2024-03,344.01698255442767,759.0145033461407,510.9930323949504,1.0065129044834211,False
2024-04,347.7749059076559,767.3262923652775,516.5818706921535,1.010937210378406,False
2024-05,348.1506751613292,775.8016915170477,519.7074972452884,1.006050592811062,False
2024-06,348.52621359850764,784.4432446351881,522.8757346020467,1.0060961932886316,False
2024-07,353.41144471275584,793.2535312239771,529.4760395838143,1.0126230852666953,False
2024-08,353.78721396642914,801.3738824933326,532.4620486314276,1.005639554624531,False
2024-09,354.1627524036076,808.7965495998131,535.2061398571683,1.0051535902564206,False
2024-10,355.2902909811225,815.513696670695,538.2788297799033,1.0057411335444602,False
2024-11,356.9812526226525,821.5173998265263,541.5406821665181,1.0060597820426052,False
2024-12,356.9812526226525,826.7996461926982,543.2789093696122,1.0032097813891656,False
2025-01,360.55106053254906,831.3523328999189,547.4896942438958,1.007750687173131,False
